"","AV_ID","target_time","mean_yProj","mean_xProj","n_points","lon","lat","date","time","Group"
"167","AV74116",2025-06-29 08:30:00,9929706.67132472,372453.177551201,12,-76.1462242450001,-0.635837428500085,2025-06-29,"08:30:00"," G"
"168","AV74116",2025-06-29 08:45:00,9929628.0615223,372457.252854381,12,-76.1461877833333,-0.63654850008338,2025-06-29,"08:45:00"," G"
"169","AV74116",2025-06-29 09:00:00,9929631.15945176,372460.117341259,12,-76.1461620383334,-0.636520483583333,2025-06-29,"09:00:00"," G"
"170","AV74116",2025-06-29 09:15:00,9929625.17102839,372421.829431346,12,-76.1465060858364,-0.636574574753523,2025-06-29,"09:15:00"," G"
"171","AV74116",2025-06-29 09:30:00,9929512.51525916,372413.647749938,12,-76.1465798274973,-0.637593583665409,2025-06-29,"09:30:00"," G"
"172","AV74116",2025-06-29 09:45:00,9929479.17080578,372392.501069896,12,-76.1467699075013,-0.637895157583985,2025-06-29,"09:45:00"," G"
"173","AV74116",2025-06-29 10:00:00,9929492.74814073,372349.748834916,12,-76.1471540299999,-0.63777225791701,2025-06-29,"10:00:00"," G"
"174","AV74116",2025-06-29 10:15:00,9929488.50008178,372348.937453407,12,-76.1471613291663,-0.637810682000172,2025-06-29,"10:15:00"," G"
"175","AV74116",2025-06-29 10:30:00,9929490.48142922,372348.432772685,12,-76.14716586,-0.637792758750084,2025-06-29,"10:30:00"," G"
"176","AV74116",2025-06-29 10:45:00,9929475.29600553,372347.904374461,12,-76.1471706383333,-0.6379301170832,2025-06-29,"10:45:00"," G"
"177","AV74116",2025-06-29 11:00:00,9929436.22434798,372345.042904276,12,-76.1471964283334,-0.638283533082889,2025-06-29,"11:00:00"," G"
"178","AV74116",2025-06-29 11:15:00,9929417.52954345,372359.658226786,12,-76.1470651400003,-0.638452666000216,2025-06-29,"11:15:00"," G"
"179","AV74116",2025-06-29 11:30:00,9929434.73996786,372371.802029689,12,-76.1469559875,-0.638297014000001,2025-06-29,"11:30:00"," G"
"180","AV74116",2025-06-29 11:45:00,9929430.27439626,372375.530517201,12,-76.1469224941668,-0.638337414749951,2025-06-29,"11:45:00"," G"
"181","AV74116",2025-06-29 12:00:00,9929436.33500947,372380.764087493,12,-76.1468754558334,-0.638282604166584,2025-06-29,"12:00:00"," G"
"182","AV74116",2025-06-29 12:15:00,9929438.39826322,372383.878464347,12,-76.1468474675001,-0.638263947332934,2025-06-29,"12:15:00"," G"
"183","AV74116",2025-06-29 12:30:00,9929451.01548452,372371.051362045,12,-76.1469627000016,-0.638149792665801,2025-06-29,"12:30:00"," G"
"184","AV74116",2025-06-29 12:45:00,9929482.29805903,372336.372924682,12,-76.1472742400001,-0.637866756916352,2025-06-29,"12:45:00"," G"
